ticket_id,date_submitted,customer_id,original_priority,suggested_priority,original_category,suggested_category,suggested_subcategory,status,recurrence_flag,prior_tickets,explanation,satisfaction_score,agent_assigned,resolution_time_hours
TKT-001,2024-01-03,CUST-4421,High,High,Model Output,Model Output,Hallucination,Resolved,True,['TKT-004'],"Customer reports model providing outdated inventory data (discontinued items), which directly impacts their business operations and customer-facing systems. Low satisfaction score (3.0) despite resolution suggests underlying issue may not be fully addressed.",3.0,Sarah J.,4.5
TKT-002,2024-01-04,CUST-2891,,High,Integration,Integration,API Timeout,Resolved,True,"['TKT-013', 'TKT-047']","API timeouts on large batch processing block production workflows. Despite high satisfaction score, this represents a functional blocking issue that should be investigated to prevent recurrence.",5.0,Marcus T.,2.0
TKT-003,2024-01-04,CUST-3310,Low,Medium,Billing,Billing,Overage,Resolved,False,[],"Customer is being charged for failed API calls, which is a billing fairness issue. This is a policy/system concern that could affect multiple customers and should be reviewed for accuracy.",4.0,Priya K.,1.0
TKT-004,2024-01-05,CUST-4421,High,Critical,Model Output,Model Output,Inconsistency,Resolved,True,['TKT-001'],"Same customer (CUST-4421) reports non-deterministic model outputs for compliance use case with very low satisfaction (2.0), creating legal and regulatory exposure. Inconsistent outputs in compliance contexts pose serious legal liability.",2.0,Sarah J.,6.0
TKT-006,2024-01-08,CUST-5502,,High,,Integration,API Error,Open,False,[],Customer experiencing constant 429 rate limit errors despite being within limits—indicates either a metering bug or dashboard accuracy issue. This is actively blocking their service (Open status) and requires immediate investigation.,,,
TKT-007,2024-01-08,CUST-2234,High,Critical,Model Output,Model Output,Bias,Escalated,True,"['TKT-037', 'TKT-021']","Model exhibits gender-based bias in HR application context, creating serious discrimination and legal liability exposure. Already escalated status indicates severity; this requires immediate investigation and potential deployment pause.",,Priya K.,
TKT-008,2024-01-09,CUST-6671,Low,Medium,Integration,Integration,Webhook,Resolved,False,[],"Webhooks not firing on job completion is a functional integration issue, though high satisfaction score suggests either workaround was found or issue was intermittent. Should verify fix stability.",5.0,Tom W.,1.5
TKT-009,2024-01-10,CUST-3310,High,Critical,Model Output,Model Output,Hallucination,Resolved,True,['TKT-024'],"Model fabricated legal case references in contract review deployment, creating severe legal liability. Customer's legal team is escalated (lowest satisfaction 1.0), representing potential contract/cancellation risk with legal exposure.",1.0,Sarah J.,8.0
TKT-010,2024-01-10,CUST-4892,Low,Low,Billing,Billing,Account Management,Resolved,False,[],Standard billing/account question about invoice download—basic user support request with straightforward resolution pathway.,5.0,Priya K.,0.5
TKT-011,2024-01-11,CUST-1155,Medium,High,Performance,Performance,Latency,Resolved,True,['TKT-005'],Latency issue referenced as recurring (TKT-005 mentioned) with degraded performance returning (8-12 second response times). Recurring performance issues after resolution indicate root cause may not have been addressed.,4.0,Marcus T.,2.0
TKT-012,2024-01-11,CUST-7743,,Medium,Model Output,Model Output,Context Window,Resolved,False,[],"Customer reports context loss in conversations beyond 15-20 messages, which is a known limitation but significant for usability. Low satisfaction score (3.0) indicates this is impacting their experience and warrants investigation into whether this is expected behavior or a configuration issue.",3.0,Tom W.,3.0
TKT-013,2024-01-14,CUST-2891,High,High,Integration,Integration,Authentication,Resolved,True,"['TKT-047', 'TKT-002']","API authentication failure after key rotation is a production blocker that prevented service continuity. While marked resolved with high satisfaction, this indicates a real integration vulnerability that needs root cause analysis to prevent recurrence.",5.0,Sarah J.,1.0
TKT-014,2024-01-14,CUST-8801,,Critical,Model Output,Model Output,Hallucination,Open,True,['TKT-026'],"Model is fabricating customer data (names, order numbers) in a CRM integration, which poses serious data integrity and legal/compliance risks. This is actively corrupting customer production data and requires immediate investigation and remediation.",,,
TKT-015,2024-01-15,CUST-5502,Medium,Medium,Performance,Performance,Throughput,Resolved,False,[],"Customer cannot meet their throughput requirements (3,200 vs 10,000 docs/hour), but this appears to be a capacity/scaling limitation rather than a bug. A workaround or upgrade path should be discussed to improve the satisfaction score from 3.0.",3.0,Marcus T.,4.0
TKT-016,2024-01-15,CUST-3344,Low,Low,Integration,Integration,API Error,Resolved,False,[],"Occasional malformed JSON responses is a single first-time report with high satisfaction (5.0), suggesting either the issue was intermittent or the resolution was effective. Monitor for recurrence but no immediate action needed.",5.0,Priya K.,0.5
TKT-017,2024-01-16,CUST-4421,High,High,Safety,Safety,Content Filter,Escalated,True,"['TKT-029', 'TKT-044']","Regulated financial institution is being blocked from legitimate compliance discussions by overly aggressive content filters, creating legal/regulatory exposure and blocking their business use case. Requires immediate escalation to product/safety team for allowlisting or filter tuning.",,Tom W.,
TKT-018,2024-01-17,CUST-9921,,Low,Onboarding,Onboarding,Setup,Resolved,True,['TKT-050'],Standard onboarding question about prompt engineering best practices with documentation gaps. This is typical for new customers and the satisfaction score (4.0) suggests the issue was resolved adequately; consider updating documentation for future onboarding.,4.0,Sarah J.,2.0
TKT-019,2024-01-18,CUST-1155,High,Critical,Model Output,Model Output,Inconsistency,Open,True,"['TKT-011', 'TKT-034', 'TKT-005', 'TKT-048']","Third occurrence of response inconsistency (TKT-005, TKT-011) with temperature locked at 0, now blocking production deployment. This is a recurring systemic issue that requires root cause analysis and is critical to resolve before customer can go live.",,,
TKT-020,2024-01-18,CUST-6671,Low,Low,Billing,Billing,Pricing,Resolved,False,[],Standard billing inquiry comparing plan tiers; resolved with good satisfaction (4.0). No action needed beyond ensuring the answer provided was clear and accurate.,4.0,Marcus T.,1.0
TKT-021,2024-01-21,CUST-2234,High,Critical,Model Output,Model Output,Bias,Open,True,"['TKT-037', 'TKT-007']","Two-week-old follow-up to unresolved bias issue (TKT-007) causing documented harm in customer's product, with no status update. Customer is escalating and frustrated; this requires immediate executive visibility, ETA communication, and remediation plan to prevent further reputational damage.",,,
TKT-022,2024-01-21,CUST-4892,,Medium,Integration,Integration,Data Format,Resolved,True,['TKT-036'],"Inconsistent output formatting between markdown and plain text is a second-occurrence integration issue that impacts downstream processing. While marked resolved, the inconsistency suggests an underlying bug that may recur and warrant root cause investigation.",4.0,Priya K.,2.5
TKT-023,2024-01-22,CUST-7743,Medium,High,Performance,Performance,Latency,Resolved,False,[],15-second response latency is a recurring performance issue (second occurrence from same customer). This is production-blocking and justifies escalation to High despite current resolution status.,3.0,Tom W.,3.0
TKT-024,2024-01-22,CUST-3310,High,Critical,Model Output,Model Output,Hallucination,Open,True,['TKT-009'],Three-week-old unresolved hallucination issue in production with explicit churn threat ('considering switching providers'). This represents both safety risk and imminent customer loss requiring immediate senior engineering attention.,,,
TKT-025,2024-01-23,CUST-5502,,Medium,Integration,Integration,API Timeout,Resolved,False,[],"API timeouts on large payloads indicate a scalability constraint affecting integration workflows. Though resolved, this represents a first-occurrence issue that needs monitoring to prevent recurrence.",4.0,Sarah J.,2.0
TKT-026,2024-01-24,CUST-8801,High,Critical,Model Output,Model Output,Hallucination,Open,True,['TKT-014'],"Unresolved hallucination ticket now escalated to account manager with customer explicitly dissatisfied. Combined with TKT-024, this indicates a systemic hallucination problem affecting multiple enterprise customers.",,,
TKT-027,2024-01-24,CUST-1122,Low,Low,Onboarding,Onboarding,Setup,Resolved,False,[],Standard onboarding question about fine-tuning with high satisfaction resolution. No action needed beyond maintaining documentation quality.,5.0,Marcus T.,1.5
TKT-028,2024-01-25,CUST-9921,Medium,Medium,Model Output,Model Output,Quality,Resolved,True,['TKT-040'],Verbosity issue impacting end-user experience and customer retention on the client's platform. Workaround exists (prompt engineering) but product-level fix would improve satisfaction.,3.0,Priya K.,4.0
TKT-029,2024-01-28,CUST-4421,High,Critical,Safety,Safety,Content Filter,Open,True,"['TKT-017', 'TKT-044']",Second escalation on content filtering with enterprise agreement in limbo creates legal and contractual risk. Delays on safety-related requirements for enterprise customers require executive intervention.,,,
TKT-030,2024-01-28,CUST-6671,,High,Model Output,Model Output,Inconsistency,Resolved,True,['TKT-042'],Non-deterministic output formatting from identical prompts suggests a consistency bug in model serving. This is a first-occurrence issue but relates to broader formatting problems (TKT-022) and warrants investigation.,4.0,Tom W.,2.5
TKT-031,2024-01-29,CUST-3344,Medium,Medium,Performance,Performance,Throughput,Resolved,False,[],Degraded performance with increased document length indicates a scalability constraint that could limit use cases. First occurrence but affects core functionality and should be tracked.,4.0,Sarah J.,3.0
TKT-032,2024-01-29,CUST-2891,,Medium,Billing,Billing,Disputed Charge,Resolved,False,[],"Customer was charged during paused subscription period. While resolved, the satisfaction score of 3.0 indicates incomplete resolution. This is a second-occurrence billing issue type that needs process review to prevent recurrence.",3.0,Marcus T.,2.0
TKT-033,2024-01-30,CUST-7743,Low,Low,Integration,Integration,SDK Deprecation,Resolved,False,[],Python SDK deprecation warnings are a maintenance item with a satisfied customer (5.0 score). Low urgency unless impacting production deployments.,5.0,Priya K.,1.0
